title,key
Error thrown by Function gets gobbled up,FELIX-5639
Unintended Web Console RESTful API change,FELIX-5638
[gogo][runtime] Error throwns by commands are swallowed and lost,FELIX-5637
Component of aspect service does not have any service properties anymore,FELIX-5636
"[gogo][jline] The ""cd"" command should not attempt to complete multiple directories",FELIX-5635
[gogo][runtime] The file name generation may loop into subtrees for nothing,FELIX-5634
[gogo][runtime] The file name generation should take ~ into account,FELIX-5633
Implement equals and hashCode for HttpSessionWrapper,FELIX-5632
[gogo][runtime] The parser indicates wrong repair string when parsing heredocs,FELIX-5631
NullObject is created for a required dependency if the component is removed and added again to the dependency manager,FELIX-5630
"[gogo][jline] When a job is in the foreground, the shell should wait for its completion",FELIX-5629
Global lock in FieldHandler.NotResolved::resolve method can cause deadlock,FELIX-5628
Class loading issues while finding fields causes an NPE,FELIX-5627
Exclude EasyMock from the runtime classpath,FELIX-5626
Do not fall back to project version for the Export-Package header,FELIX-5625
HttpLite complete bundle has wrong ranges for package imports,FELIX-5624
Improve performance of ComponentImpl.getName method,FELIX-5623
Serializer uses concatenated version of String when DTO is a subclass of org.osgi.dto.DTO,FELIX-5622
[DS] event methods setting service properties not thread safe,FELIX-5621
Bundle start/stop buttons are missing,FELIX-5620
MultiProperyFilterIndex memory consumption,FELIX-5619
Cycles in DS depending on bundle order,FELIX-5618
"Remove ""null"" from console messages",FELIX-5617
Converter ignores rules of ParameterizedType,FELIX-5616
Global lock in BaseMethod.NotResolved::resolve method can cause deadlock,FELIX-5615
Make isDTOType(Class<?> cls) publicly available,FELIX-5614
SCR bundle fails to start without Config Admin,FELIX-5613
[SCR] Deadlock while invoking SCR api from lifecycle methods,FELIX-5612
BundleRepository must deal properly R5 index file with resources with relative path from the given repository’s URL,FELIX-5611
Files should be deleted if a configuration is deleted,FELIX-5610
Full support for both untyped and typed configurations,FELIX-5609
